Source,Target,size,Weight
Address,5R01MH121907-02,,
Address,5R01MH117107-03,,
Address,5R01HG011138-02,,
Address,5R01GM118470-07,,
Address,1F30DK128914-01,,
Address,5R01AT010413-04,,
Address,5R01GM132600-03,,
Address,3R01MH122370-02S1,,
Address,5K99GM135488-02,,
Address,5R01DK123445-02,,
Address,5U19NS113201-03,,
Address,5R44EY031198-02,,
Address,5R00LM013001-03,,
Address,5R35GM128638-04,,
Address,5U19NS104649-05,,
Address,5F31NS115447-02,,
Address,5R01NS117921-02,,
Address,5R01LM013400-02,,
Address,5F99CA253744-02,,
Address,5R21AG068890-02,,
Address,5P30AG024827-17,,
Address,5R01LM013323-03,,
Address,5R25HL147228-03,,
Address,5F31NR018102-03,,
Address,5K23MH121190-03,,
Address,1R21MH123849-01A1,,
Address,75N91019D00024-P00003-759101900134-3,,
Address,1K08CA252635-01A1,,
Address,2R01HG003747-12,,
Address,5T15LM012500-05,,
Address,5F32NS117728-02,,
Address,5R35GM133562-03,,
Address,2R01GM114355-05,,
Address,5K01AR075879-02,,
Address,2R01LM011934-06A1,,
Address,1R35GM141873-01,,
Address,8R01HD107493-10,,
Address,1R21AG072265-01,,
Address,5R01GM132595-03,,
Address,1R01MH126137-01,,
Address,1R03AR078938-01,,
Address,5K01HL141771-04,,
Address,4R00LM013001-02,,
Address,5R01LM008111-16,,
Address,1R21LM013683-01,,
